name,hex,link
Abricot,#e67e30,https://fr.wikipedia.org/wiki/Abricot_(couleur)
Absinthe,#7fdd4c,https://fr.wiktionary.org/wiki/absinthe
Acajou,#88421d,https://fr.wikipedia.org/wiki/Acajou_(couleur)
Acapulco,#008897,https://www.duluxvalentine.com/fr/couleurs
Acier,#6c6c6c,https://www.deleze.name/marcel/photo/noms-couleurs/454-couleurs.php
Acier Brossé,#9e9f9e,https://www.duluxvalentine.com/fr/couleurs
Aigue-Marine,#79f8f8,https://fr.wikipedia.org/wiki/Aigue-marine_(couleur)
Aigue-Marine Bleue,#acd8e2,https://www.deleze.name/marcel/photo/noms-couleurs/454-couleurs.php
Aiguilles de Pin,#a09e64,https://www.duluxvalentine.com/fr/couleurs
Aile de Corbeau,#000000,https://fr.wikipedia.org/wiki/Cheveux_noirs
Air Marin,#c5e8ed,https://www.deleze.name/marcel/photo/noms-couleurs/454-couleurs.php
Albâtre,#fefefe,https://fr.wikipedia.org/wiki/Alb%C3%A2tre
Alezan,#a76726,https://fr.wikipedia.org/wiki/Alezan
Alizarine,#d90115,https://fr.wikipedia.org/wiki/Alizarine
Aluminium,#9fa09f,https://www.duluxvalentine.com/fr/couleurs
Amande,#82c46c,https://fr.wiktionary.org/wiki/amande
Amande Douce,#d9dcb8,https://www.duluxvalentine.com/fr/couleurs
Amarante,#91283b,https://fr.wikipedia.org/wiki/Amarante_(couleur)
Ambre,#f0c300,https://fr.wikipedia.org/wiki/Ambre_(couleur)
Ambre Jaune,#f1c401,https://fr.wiktionary.org/wiki/ambre_jaune
Ambre Rouge,#ad390e,https://fr.wiktionary.org/wiki/ambre_rouge
Améthyste,#884da7,https://fr.wikipedia.org/wiki/Améthyste_(couleur)
Améthyste Violette,#a3638b,https://www.deleze.name/marcel/photo/noms-couleurs/454-couleurs.php
Anis,#9fe855,https://fr.wikipedia.org/wiki/Anis_vert
Anthracite,#303030,https://fr.wikipedia.org/wiki/Anthracite_(couleur)
Aquilain,#ad4f09,https://fr.wiktionary.org/wiki/aquilain
Ardoise,#5a5e6b,https://fr.wiktionary.org/wiki/ardoise
Ardoise Grise,#455c71,https://www.deleze.name/marcel/photo/noms-couleurs/454-couleurs.php
Argent,#c0c0c0,https://fr.wikipedia.org/wiki/Gris
Argile,#efefef,https://fr.wikipedia.org/wiki/Argile#Couleurs
Argile Grise,#9d978f,https://www.duluxvalentine.com/fr/couleurs
Asperge,#7ba05b,https://fr.wikipedia.org/wiki/Asperge
